	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1338	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	NA
ASV_1339	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_1340	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	NA
ASV_1341	Bacteria	NA	NA	NA	NA	NA	NA
ASV_1342	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA
ASV_1343	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	NA	NA
ASV_1344	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	NA
ASV_1345	NA	NA	NA	NA	NA	NA	NA
ASV_1346	NA	NA	NA	NA	NA	NA	NA
ASV_1347	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia-Obesumbacterium	NA
ASV_1348	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella	NA
ASV_1349	Bacteria	Desulfobacterota	NA	NA	NA	NA	NA
ASV_1350	Bacteria	Firmicutes	Desulfotomaculia	Desulfotomaculales	Pelotomaculaceae	Pelotomaculum	NA
ASV_1351	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Curvibacter	NA
ASV_1352	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA
ASV_1353	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	NA	NA
ASV_1354	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA
ASV_1355	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	NA	NA
ASV_1356	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	NA	NA
ASV_1357	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA
ASV_1358	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	NA	NA
ASV_1359	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_1360	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	NA	NA
ASV_1361	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	NA
ASV_1362	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_1363	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	NA	NA
ASV_1364	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	NA	NA	NA
ASV_1365	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella	NA
