	AORF10	AORF13	AORF15	AORF16	AORF17	AORM10	AORM11	AORM12	AORM14	AORM16	AORM17	COMOF1	COMOF10	COMOF11	COMOF12	COMOF13	COMOF2	COMOF3	COMOF7	COMOF8	COMOM1	COMOM10	COMOM11	CRORF10	CRORF11	CRORF12	CRORF13	CRORF14	CRORF15	CRORF2	CRORF7	CRORM12	CRORM13	CRORM17	JORF1	JORF12	JORF3	JORF5	JORF9	JORM10	JORM11	JORM13	JORM14	JORM15	JORM16	JORM2	JORM4	JORM5	JORM8
ASV_1	0	0	0	97	235	0	5	0	0	4	0	76638	16470	34481	0	78	68087	64348	68418	66449	44054	6	11	5	0	1074	2038	1144	1981	142	137	1187	1364	1850	239	0	61	13091	109	137	140	22495	12050	13891	194	17135	18559	76	4099
ASV_2	980	674	1470	367	322	25449	3754	2106	11031	1760	21107	422	8101	3717	76709	4354	855	0	0	0	534	2013	3211	3113	43684	24874	4268	85480	5466	17	22	34182	3797	44860	1342	828	226	3345	143	1054	456	2372	3764	136	481	891	197	154	2474
ASV_3	16	0	0	0	0	0	0	0	0	0	0	6257	0	0	0	0	10168	6790	3915	4382	8959	0	0	0	0	0	0	0	0	2472	3390	0	0	0	18799	690	30256	28197	40990	10578	19213	23412	24124	21485	34226	16386	22119	43995	27859
ASV_4	663	3772	4630	6969	5333	4406	10460	1160	1702	1359	2633	827	780	1140	95	651	249	136	11236	152	382	0	0	13157	3090	1921	6748	1234	11960	12932	1771	1734	2621	1197	47292	369	2773	3326	3167	79227	13566	8680	5607	3752	7895	36275	2789	1961	3889
ASV_5	17378	3923	33137	12626	3177	34441	26937	61304	41792	49035	10248	0	433	181	637	395	0	0	0	0	0	1021	0	5029	6226	5716	5179	1757	788	24	0	1295	8	9	23	1169	0	0	0	64	24	0	0	0	11	0	0	0	0
ASV_6	6003	5100	5418	10788	17678	16409	29202	12138	9125	23005	2576	381	1225	3264	294	891	25	18	459	17	141	217	0	33752	13944	4446	34523	2551	15668	2814	334	12429	835	2427	644	590	292	347	1342	361	1362	1836	222	216	507	1244	269	175	486
ASV_7	0	0	0	0	0	0	0	0	0	0	0	3688	0	0	0	0	3845	6897	2858	9096	5433	0	0	0	0	0	0	0	0	1135	279	0	0	0	5473	0	14796	11737	13551	3453	8940	13824	11851	18509	7868	9897	25934	6522	16032
ASV_8	35	25	56	0	11	20	54	29	0	8	0	2686	28	55	0	22	4707	2464	1627	1021	3837	0	0	85	105	29	109	85	154	2101	3297	23	159	121	9077	1174	13387	12869	21003	5125	8988	10707	10772	8824	19081	7310	7882	23315	12025
ASV_9	0	0	0	0	0	0	0	0	0	0	0	2261	0	0	0	0	2106	3931	1784	5018	3082	0	0	0	0	0	0	0	0	704	182	0	0	0	3321	0	8347	6866	8061	2102	5440	8678	6756	11348	4819	5716	14556	3697	9513
ASV_10	0	0	0	0	0	0	0	0	0	0	0	1306	0	0	0	0	2682	1174	767	458	2012	0	17	0	0	0	0	0	0	654	863	0	0	0	4897	171	6967	7420	10419	2708	4418	5137	5904	4464	9208	3856	3991	13486	6247
ASV_11	0	0	0	0	22	358	1055	593	582	280	305	15	270	681	0	312	0	0	51	0	0	0	0	8514	1393	461	3711	296	3410	23626	3984	833	2665	760	29	0	20	0	0	32	5731	21	15	22	888	47	23	9	0
ASV_12	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	3750	266	46	224	318	0	0	0	0	0	0	0	0	859	74	0	0	0	1762	0	14775	5848	2815	771	3610	1590	4365	1390	1417	1885	2569	2441	2571
ASV_13	0	0	0	0	0	0	0	44	0	0	0	2523	0	0	0	79	2703	2351	2443	2432	13882	353	23	0	0	0	0	0	0	8	10	0	0	0	34	0	6	7	0	32	19	14	4	5	27	26	10	0	9503
ASV_14	0	0	0	0	4	47	148	29	47	32	29	64	71	147	0	49	44	24	79	36	48	0	0	159	347	51	239	162	347	6918	9254	88	389	635	59	0	26	0	47	20	1838	24	36	46	6760	40	37	0	24
ASV_15	0	0	0	0	0	0	0	1246	0	0	0	0	0	0	429	940	0	0	0	0	0	24534	904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_16	0	0	0	0	22	183	492	278	237	137	146	0	110	307	0	116	0	0	0	0	0	0	0	3576	598	220	1751	104	1411	9103	1787	341	1117	293	0	0	0	0	0	0	2202	0	0	0	445	0	0	0	0
ASV_17	0	0	0	0	0	19	1369	21	15	15	0	0	10	0	868	16450	0	0	0	0	0	417	811	10	44	21	16	24	1057	0	0	6	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_18	0	0	0	0	0	32	292	30	34	36	17	18	172	182	0	187	21	17	30	15	21	0	0	214	226	35	26	436	1507	5460	1315	230	2033	846	31	0	25	29	29	26	3305	30	31	24	111	26	22	18	16
ASV_19	0	0	0	0	0	37	1009	0	69	0	0	0	348	378	0	842	0	0	3	2	0	0	0	63	517	32	0	748	7057	1081	677	527	434	1846	0	0	0	0	0	0	571	0	0	0	666	0	0	0	8
ASV_20	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	326	52	0	30	169	0	0	0	0	0	0	0	0	599	0	0	0	0	356	0	2592	788	930	329	2328	860	977	668	581	336	449	678	608
ASV_21	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	293	0	12	0	117	0	0	0	0	0	0	0	0	632	0	0	0	0	104	0	172	410	694	334	2235	855	911	631	630	126	140	396	261
ASV_22	91	137	159	0	0	0	76	25	12	0	0	0	27	50	0	65	0	0	0	0	0	0	0	40	122	13	52	42	485	198	109	34	122	224	0	4707	0	0	0	0	110	0	0	0	72	0	0	0	0
ASV_23	107	93	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	70	0	0	49	0	0	6085	0	0	0	0	50	0	0	0	0	0	0	0	0
ASV_24	60	4525	321	0	129	25	512	22	9	6	11	0	0	0	0	4	0	0	0	0	0	0	0	7	16	8	186	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_25	0	0	0	0	0	0	0	0	0	0	0	399	0	0	0	0	482	375	442	408	2153	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1566
ASV_26	0	0	0	0	0	0	0	256	0	0	0	0	0	0	90	233	0	0	0	0	0	5000	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27	58	77	21	34	19	133	344	113	1006	0	514	0	120	98	65	173	0	0	0	0	0	56	441	293	208	184	151	135	166	0	0	583	81	105	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28	0	0	0	0	0	0	0	182	0	0	0	0	0	0	92	141	0	0	0	0	0	4454	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	7	777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	300	394	196	0	0	0	88	0	22	219	1532	221	237
ASV_30	0	0	0	0	0	0	55	182	0	0	0	0	0	0	121	299	0	0	0	0	0	3188	159	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_31	33	225	51	9	0	1	10	40	130	383	213	0	67	0	0	15	0	0	0	11	0	26	557	201	27	65	8	0	31	0	0	132	1595	21	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_32	7	0	0	0	9	43	240	46	20	64	43	3	11	20	164	1230	0	6	0	0	18	161	1402	17	26	17	67	32	98	0	0	0	1	3	6	0	0	0	0	0	0	0	3	0	6	0	0	0	8
ASV_33	257	38	0	34	0	73	380	179	29	20	0	0	130	0	22	274	0	0	0	0	0	147	688	361	170	174	0	64	309	0	0	0	40	95	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	56	0	0	19	16	0	41	0	0	1009	1853	0	0	0	5	0	0	15	0	0	95	0	11	0	343	16	0	0	12
ASV_35	0	0	0	0	0	27	81	59	37	37	37	0	15	107	0	0	0	0	0	0	0	0	0	88	93	45	1100	18	86	347	685	12	53	24	0	0	0	0	0	0	79	0	0	0	332	0	0	0	0
ASV_36	0	0	0	0	0	0	12	0	0	0	7	7	14	11	0	0	7	0	1	5	0	0	0	0	72	0	17	40	41	574	834	12	19	179	0	0	8	0	2	0	58	9	0	11	1255	2	3	0	1
ASV_37	60	27	46	14	6	70	82	23	714	0	91	0	40	0	45	50	0	0	0	0	0	0	352	547	91	86	0	65	59	0	0	430	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_38	105	31	32	33	0	48	57	198	0	0	347	0	138	0	44	27	0	0	0	0	0	119	378	180	452	173	0	56	46	0	0	0	83	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_39	6	7	14	16	137	82	89	33	0	41	20	0	13	24	93	672	0	0	0	0	0	67	1074	39	45	24	76	52	43	11	0	9	8	13	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_40	0	0	0	0	0	21	39	0	8	16	0	0	0	43	0	23	0	0	0	0	0	0	0	42	83	0	72	80	156	455	598	38	90	66	0	0	0	0	0	0	0	0	0	0	946	0	0	0	0
ASV_41	0	0	0	0	0	0	40	0	0	0	0	0	22	31	0	23	0	0	0	0	0	0	0	37	118	0	12	33	200	1061	336	23	182	87	0	0	0	0	0	0	384	0	0	0	109	0	0	0	0
ASV_42	0	0	0	0	1	0	0	0	0	0	1	49	3	6	0	0	47	42	51	34	6	0	0	0	0	1	1	0	0	14	6	0	0	0	61	0	200	282	104	46	124	281	259	279	70	189	240	75	115
ASV_43	80	0	0	0	0	0	609	0	0	0	0	0	107	0	0	387	0	0	0	0	0	0	107	0	266	168	26	0	475	0	0	15	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_44	0	20	0	0	0	0	0	112	1	0	0	0	11	6	56	92	0	0	0	0	0	1854	90	8	9	8	4	0	12	1	4	0	9	8	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
ASV_46	0	0	0	0	0	0	84	12	3	9	0	0	0	4	77	636	0	0	0	0	23	74	1212	0	11	0	14	0	77	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	119	0	0	0	0	0	52	1998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
ASV_48	0	0	35	9	18	55	31	12	13	59	12	0	0	9	48	203	0	0	0	0	17	57	1604	20	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_49	0	0	0	0	0	18	86	0	22	0	0	0	27	53	0	105	0	0	0	0	0	0	0	22	80	0	0	91	492	251	226	70	43	164	0	0	0	0	6	0	94	0	10	0	336	0	0	0	0
ASV_50	38	86	0	0	0	0	391	0	0	723	0	0	47	18	0	201	0	0	0	0	0	0	22	182	105	86	0	0	212	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_51	20	0	16	11	0	108	89	75	0	0	297	36	46	10	54	59	39	39	107	72	72	46	247	143	148	68	19	83	51	0	0	0	15	67	0	27	0	0	0	0	0	0	0	0	0	12	31	0	20
ASV_52	28	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2013	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_53	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	314	391	0	31	47	0	472	0	0	0	0	132	0	0	0	604	0	0	0	0
ASV_54	0	0	0	0	0	0	76	0	0	0	0	0	0	0	110	1545	0	0	0	0	0	68	165	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2028	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_56	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	176	0	0	0	0	0	1631	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_57	0	0	0	0	0	0	17	0	0	0	0	0	0	15	0	22	0	0	0	0	0	0	0	24	82	0	57	51	80	301	344	14	37	39	0	229	0	0	0	0	116	0	0	0	518	0	0	0	0
ASV_58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	31	0	0	27	0	4	11	1804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
ASV_59	0	0	0	0	41	148	79	0	21	45	0	0	0	0	63	520	0	0	0	0	0	63	758	51	0	0	56	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_60	0	0	0	0	0	0	0	156	0	0	0	0	0	0	95	135	0	0	0	0	0	1338	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_61	75	0	1574	0	56	54	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_62	0	0	59	0	0	0	0	14	8	172	28	0	215	32	33	32	0	0	0	0	0	86	151	33	129	66	182	59	36	0	0	16	12	212	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_63	8	10	0	0	0	49	83	107	418	0	193	0	11	6	24	52	0	0	0	0	0	62	33	48	28	18	0	65	72	0	0	258	120	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_64	0	0	0	0	0	201	41	13	24	66	23	0	0	0	52	136	0	0	0	0	0	31	940	23	37	14	22	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_65	0	4	32	8	0	0	406	74	0	0	11	0	33	0	0	245	0	0	0	0	0	55	144	253	15	41	0	0	297	0	0	0	0	11	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_66	31	16	47	0	0	0	225	40	0	0	133	0	4	0	0	116	0	0	0	0	0	22	26	152	398	8	12	0	97	0	0	0	23	231	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_67	32	39	0	0	0	26	149	15	269	0	44	0	0	0	14	102	0	0	0	0	0	0	35	45	304	18	6	37	107	0	0	128	11	183	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_68	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	18	43	319	562	0	35	26	0	0	0	0	0	0	0	0	0	0	470	0	0	0	0
ASV_69	36	46	26	10	12	119	0	0	383	0	97	0	26	25	50	0	0	0	0	0	0	0	0	192	0	44	40	92	0	0	0	215	0	8	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_70	12	0	0	26	0	54	38	49	0	0	271	0	73	0	48	27	0	0	0	0	0	43	356	62	80	127	0	36	15	0	0	0	44	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_71	0	0	0	0	0	0	27	0	0	0	0	0	10	19	6	48	0	0	0	11	0	0	0	0	0	0	0	10	146	864	113	13	0	27	0	0	8	0	0	0	115	0	0	0	0	0	0	0	0
ASV_72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_73	0	0	0	0	0	22	44	27	11	22	12	0	19	74	0	11	0	0	0	0	0	0	0	49	97	57	446	113	84	84	23	0	65	76	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0
ASV_74	0	0	16	3	18	58	29	17	13	31	15	0	0	11	55	177	0	0	0	5	0	44	659	31	27	13	54	19	0	0	0	0	0	0	0	32	0	6	0	0	0	0	0	0	0	0	4	10	21
ASV_75	0	19	22	0	0	0	15	0	373	0	341	0	0	0	0	11	0	0	0	0	0	3	27	54	76	10	0	0	13	0	0	273	18	69	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_76	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	41	1117	11	22	51	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0
ASV_77	0	0	0	0	0	9	2	0	5	0	9	96	0	12	8	17	74	59	130	75	131	3	29	0	37	0	0	37	26	54	20	5	9	53	27	0	15	13	7	22	37	52	15	13	17	39	30	43	106
ASV_78	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	579	0	0	0	0	0	9	738	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_79	0	0	0	0	0	35	35	8	14	0	8	0	37	39	0	26	0	0	0	0	0	0	0	92	124	19	23	30	118	189	74	27	97	184	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0
ASV_80	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	11	3	0	0	0	0	0	0	2	5	317	397	4	0	14	0	0	0	0	0	0	68	0	0	0	464	0	4	0	0
ASV_81	20	45	53	0	0	11	0	0	0	0	254	0	52	13	7	0	0	0	0	0	0	0	157	311	151	75	25	0	0	0	0	0	0	103	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_82	0	101	0	37	20	0	0	0	0	0	0	0	112	115	0	0	0	0	0	0	0	0	0	44	230	181	134	0	0	0	0	0	174	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_83	0	0	0	0	0	0	66	0	0	0	0	0	0	0	55	938	0	0	0	0	0	53	70	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_85	21	0	0	5	0	0	0	37	300	0	81	0	24	0	0	36	0	0	0	0	0	8	102	80	156	48	9	0	44	0	0	185	0	106	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_86	0	0	0	0	0	0	0	35	0	0	0	0	0	0	29	175	0	0	0	0	0	842	70	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_87	0	0	0	0	0	0	34	0	0	0	0	0	0	0	33	867	0	0	0	0	0	32	166	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_88	0	113	0	0	0	0	0	0	20	0	60	0	68	26	0	0	0	0	0	0	0	0	38	471	91	110	54	0	0	0	0	4	0	72	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_89	0	0	0	0	0	0	134	55	0	280	382	0	0	0	0	91	0	0	0	0	0	32	0	51	0	0	0	0	91	0	0	0	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_90	29	116	41	0	12	0	101	28	0	0	50	0	0	53	0	63	0	0	0	0	0	19	19	4	227	0	81	0	68	0	0	0	43	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_91	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	274	164	234	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0
ASV_92	0	0	0	0	0	90	80	0	0	38	0	0	0	0	37	137	0	0	0	0	0	0	629	0	45	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_93	0	0	0	0	0	0	34	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	281	0	0	383	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_94	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	716	0	0	0	70	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_96	0	0	0	0	0	0	107	21	122	0	102	0	0	9	14	64	0	0	0	0	0	20	74	121	33	0	0	15	67	0	0	101	78	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_97	0	0	0	0	0	63	42	0	14	46	15	0	0	0	20	116	0	0	0	0	0	13	526	9	14	6	38	5	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_98	0	27	27	0	7	0	0	0	0	0	79	0	37	48	0	37	0	0	0	0	0	0	210	62	72	109	89	0	0	0	0	0	81	32	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_99	16	29	16	11	0	19	33	29	19	68	13	0	125	16	8	0	0	0	0	0	0	22	5	52	63	88	56	28	43	0	0	16	6	53	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_100	0	0	33	0	11	46	83	110	0	0	80	0	0	28	41	101	0	0	0	0	0	104	0	0	0	8	73	43	51	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_101	27	30	0	17	9	37	37	53	0	32	51	0	53	0	17	17	0	0	0	0	0	30	39	70	68	47	6	36	0	0	0	0	24	66	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_102	10	0	0	20	0	0	0	38	212	162	37	0	58	0	0	0	0	0	0	0	0	9	40	85	0	137	9	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_103	0	0	17	0	0	30	30	11	12	15	0	0	0	0	51	163	0	0	0	0	0	21	417	12	19	18	57	16	14	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_104	25	12	19	0	0	0	28	12	0	0	45	0	0	14	0	36	0	0	0	0	0	0	56	97	328	0	20	0	22	0	0	0	13	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_105	0	0	0	0	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	40	0	49	0	33	393	24	17	28	9	0	0	0	0	0	48	140	18	0	0	12	0	0	0	0
ASV_106	0	0	37	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	15	0	494	0	0	0	0	0	0	0	15	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_107	32	0	41	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495	0	4	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_109	0	0	0	0	0	31	39	0	10	0	10	17	0	0	51	129	19	26	10	23	10	20	337	8	14	4	0	19	31	0	0	0	0	0	5	9	0	0	0	0	0	0	6	13	0	0	0	0	10
ASV_110	0	0	0	0	0	0	13	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	56	0	0	0	40	272	114	15	80	42	0	0	0	0	0	0	98	0	0	0	49	0	0	0	0
ASV_111	0	0	0	0	0	0	296	0	25	20	0	0	0	0	0	176	0	0	0	0	0	0	23	28	0	0	0	0	178	0	0	21	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	67	149	0	0	0	31	110	0	0	73	44	42	93
ASV_113	72	45	25	0	12	0	16	0	0	0	72	0	18	70	0	10	0	0	0	0	0	0	45	45	108	38	38	0	0	0	0	0	43	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_114	0	0	0	12	0	0	0	0	0	0	654	0	33	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_115	0	0	0	0	0	0	0	56	0	0	0	0	0	19	15	29	0	0	0	0	0	572	24	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_116	16	0	0	14	0	0	40	35	0	75	102	0	59	0	0	0	0	0	0	0	0	0	47	0	152	82	0	0	0	0	0	0	24	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_117	9	0	12	0	6	14	34	40	30	117	39	0	26	6	0	24	0	0	0	0	0	44	15	59	65	40	22	21	21	0	0	19	0	52	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_118	0	10	0	0	0	0	79	0	129	0	56	0	15	12	0	48	0	0	0	0	0	0	19	28	95	9	0	0	62	0	0	119	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	216	0	0	0	0	0	0	478	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_120	0	13	0	0	0	0	39	40	0	87	71	0	59	20	0	39	0	0	0	0	0	18	81	76	36	43	32	10	38	0	0	0	0	17	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_121	17	12	0	0	0	30	82	11	0	54	97	0	7	16	11	46	0	0	0	0	0	13	20	62	42	19	21	9	58	0	0	0	42	28	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_122	5	4	9	0	0	135	35	0	21	30	22	0	0	0	32	28	0	0	0	0	0	15	294	30	22	17	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_123	76	7	0	0	36	16	25	0	0	0	0	0	0	15	0	130	0	0	0	0	0	0	335	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_124	0	0	0	0	0	0	16	0	0	0	0	0	0	0	36	73	0	0	0	0	0	28	485	0	13	6	9	0	8	0	0	0	0	16	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_125	0	15	0	7	0	0	46	30	0	0	90	0	24	7	0	21	0	0	0	0	0	0	33	0	174	63	12	10	19	0	0	0	20	103	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_126	0	0	43	0	0	0	198	0	0	18	0	0	0	0	0	178	0	0	0	0	0	0	52	0	0	0	4	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_127	0	0	0	0	0	0	0	48	0	0	0	0	0	0	21	31	0	0	0	0	0	525	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_128	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	502	15	57	70	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
